
BitTorrent,BTT,$0.001052
Holo,HOT,$0.001600
Ravencoin,RVN,$0.056493
0x,ZRX,$0.340281
Bitcoin Diamond,BCD,$1.02
BitShares,BTS,$0.068677
Paxos Standar...,PAX,$0.999332
ICON,ICX,$0.385092
Bytecoin,BCN,$0.000931
Verge,XVG,$0.010423
DigiByte,DGB,$0.013873
Pundi X,NPXS,$0.000754
Zilliqa,ZIL,$0.018249
IOST,IOST,$0.012476
Aeternity,AE,$0.549771
Aurora,AOA,$0.021076
Huobi Token,HT,$2.70
Siacoin,SC,$0.003288
Komodo,KMD,$1.17
ABBC Coin,ABBC,$0.254085
Bytom,BTM,$0.123117
Insight Chain,INB,$0.340488
Enjin Coin,ENJ,$0.154151
Qubitica,QBIT,$41.99
Steem,STEEM,$0.368255
THETA,THETA,$0.118691
ThoreCoin,THR,$1177.97
Status,SNT,$0.027882
Waltonchain,WTC,$2.30
KuCoin Shares,KCS,$1.03
Cryptonex,CNX,$1.63
Stratis,STRAT,$0.906196
Golem,GNT,$0.090362
Factom,FCT,$9.19
Dent,DENT,$0.001179
Dai,DAI,$1.00
MaidSafeCoin,MAID,$0.178724
Horizen,ZEN,$12.35
Crypto.com,MCO,$5.06
VestChain,VEST,$0.011208
Ardor,ARDR,$0.077730
Mixin,XIN,$172.96
Project Pai,PAI,$0.052643
aelf,ELF,$0.212297
DigixDAO,DGD,$36.42
TrueChain,TRUE,$0.896100
MonaCoin,MONA,$1.06
WAX,WAX,$0.070568
SOLVE,SOLVE,$0.292130
Ark,ARK,$0.589056
GXChain,GXC,$1.10
Aion,AION,$0.210906
Arcblock,ABT,$0.639871
Santiment Net...,SAN,$0.990310
Clams,CLAM,$17.02
Decentraland,MANA,$0.057453
ReddCoin,RDD,$0.001987
Loom Network,LOOM,$0.072377
HyperCash,HC,$1.31
Loopring,LRC,$0.062911
Metaverse ETP,ETP,$0.788774
Zcoin,XZC,$7.46
Bitcoin,BTC,$7954.32
Ethereum,ETH,$256.24
XRP,XRP,$0.405634
Bitcoin Cash,BCH,$402.52
Litecoin,LTC,$93.39
EOS,EOS,$6.30
Binance Coin,BNB,$29.53
Tether,USDT,$1.01
Stellar,XLM,$0.138515
Cardano,ADA,$0.086175
TRON,TRX,$0.029269
Monero,XMR,$87.00
Dash,DASH,$153.92
IOTA,MIOTA,$0.416528
Bitcoin SV,BSV,$64.75
Tezos,XTZ,$1.74
Cosmos,ATOM,$5.00
Ethereum Classic,ETC,$7.74
NEM,XEM,$0.093991
NEO,NEO,$11.74
Ontology,ONT,$1.42
Maker,MKR,$665.96
Zcash,ZEC,$75.87
Basic Attenti...,BAT,$0.390453
VeChain,VET,$0.008056
Crypto.com Chain,CRO,$0.067421
Bitcoin Gold,BTG,$22.35
Dogecoin,DOGE,$0.003139
USD Coin,USDC,$1.00
Chainlink,LINK,$0.988570
Decred,DCR,$31.74
Qtum,QTUM,$3.12
OmiseGO,OMG,$2.13
Augur,REP,$22.54
Waves,WAVES,$2.46
TrueUSD,TUSD,$0.998879
Lisk,LSK,$2.05
Nano,NANO,$1.80
BitTorrent,BTT,$0.001052
Holo,HOT,$0.001600
Ravencoin,RVN,$0.056493
0x,ZRX,$0.340281
Bitcoin Diamond,BCD,$1.02
BitShares,BTS,$0.068677
Paxos Standar...,PAX,$0.999332
ICON,ICX,$0.385092
Bytecoin,BCN,$0.000931
Verge,XVG,$0.010423
DigiByte,DGB,$0.013873
Pundi X,NPXS,$0.000754
Zilliqa,ZIL,$0.018249
IOST,IOST,$0.012476
Aeternity,AE,$0.549771
Aurora,AOA,$0.021076
Huobi Token,HT,$2.70
Siacoin,SC,$0.003288
Komodo,KMD,$1.17
ABBC Coin,ABBC,$0.254085
Bytom,BTM,$0.123117
Insight Chain,INB,$0.340488
Enjin Coin,ENJ,$0.154151
Qubitica,QBIT,$41.99
Steem,STEEM,$0.368255
THETA,THETA,$0.118691
ThoreCoin,THR,$1177.97
Status,SNT,$0.027882
Waltonchain,WTC,$2.30
KuCoin Shares,KCS,$1.03
Cryptonex,CNX,$1.63
Stratis,STRAT,$0.906196
Golem,GNT,$0.090362
Factom,FCT,$9.19
Dent,DENT,$0.001179
Dai,DAI,$1.00
MaidSafeCoin,MAID,$0.178724
Horizen,ZEN,$12.35
Crypto.com,MCO,$5.06
VestChain,VEST,$0.011208
Ardor,ARDR,$0.077730
Mixin,XIN,$172.96
Project Pai,PAI,$0.052643
aelf,ELF,$0.212297
DigixDAO,DGD,$36.42
TrueChain,TRUE,$0.896100
MonaCoin,MONA,$1.06
WAX,WAX,$0.070568
SOLVE,SOLVE,$0.292130
Ark,ARK,$0.589056
GXChain,GXC,$1.10
Aion,AION,$0.210906
Arcblock,ABT,$0.639871
Santiment Net...,SAN,$0.990310
Clams,CLAM,$17.02
Decentraland,MANA,$0.057453
ReddCoin,RDD,$0.001987
Loom Network,LOOM,$0.072377
HyperCash,HC,$1.31
Loopring,LRC,$0.062911
Metaverse ETP,ETP,$0.788774
Zcoin,XZC,$7.46
Bitcoin,BTC,$7954.32
Ethereum,ETH,$256.24
XRP,XRP,$0.405634
Bitcoin Cash,BCH,$402.52
Litecoin,LTC,$93.39
EOS,EOS,$6.30
Binance Coin,BNB,$29.53
Tether,USDT,$1.01
Stellar,XLM,$0.138515
Cardano,ADA,$0.086175
TRON,TRX,$0.029269
Monero,XMR,$87.00
Dash,DASH,$153.92
IOTA,MIOTA,$0.416528
Bitcoin SV,BSV,$64.75
Tezos,XTZ,$1.74
Cosmos,ATOM,$5.00
Ethereum Classic,ETC,$7.74
NEM,XEM,$0.093991
NEO,NEO,$11.74
Ontology,ONT,$1.42
Maker,MKR,$665.96
Zcash,ZEC,$75.87
Basic Attenti...,BAT,$0.390453
VeChain,VET,$0.008056
Crypto.com Chain,CRO,$0.067421
Bitcoin Gold,BTG,$22.35
Dogecoin,DOGE,$0.003139
USD Coin,USDC,$1.00
Chainlink,LINK,$0.988570
Decred,DCR,$31.74
Qtum,QTUM,$3.12
OmiseGO,OMG,$2.13
Augur,REP,$22.54
Waves,WAVES,$2.46
TrueUSD,TUSD,$0.998879
Lisk,LSK,$2.05
Nano,NANO,$1.80
BitTorrent,BTT,$0.001052
Holo,HOT,$0.001600
Ravencoin,RVN,$0.056493
0x,ZRX,$0.340281
Bitcoin Diamond,BCD,$1.02
BitShares,BTS,$0.068677
Paxos Standar...,PAX,$0.999332
ICON,ICX,$0.385092
Bytecoin,BCN,$0.000931
Verge,XVG,$0.010423
DigiByte,DGB,$0.013873
Pundi X,NPXS,$0.000754
Zilliqa,ZIL,$0.018249
IOST,IOST,$0.012476
Aeternity,AE,$0.549771
Aurora,AOA,$0.021076
Huobi Token,HT,$2.70
Siacoin,SC,$0.003288
Komodo,KMD,$1.17
ABBC Coin,ABBC,$0.254085
Bytom,BTM,$0.123117
Insight Chain,INB,$0.340488
Enjin Coin,ENJ,$0.154151
Qubitica,QBIT,$41.99
Steem,STEEM,$0.368255
THETA,THETA,$0.118691
ThoreCoin,THR,$1177.97
Status,SNT,$0.027882
Waltonchain,WTC,$2.30
KuCoin Shares,KCS,$1.03
Cryptonex,CNX,$1.63
Stratis,STRAT,$0.906196
Golem,GNT,$0.090362
Factom,FCT,$9.19
Dent,DENT,$0.001179
Dai,DAI,$1.00
MaidSafeCoin,MAID,$0.178724
Horizen,ZEN,$12.35
Crypto.com,MCO,$5.06
VestChain,VEST,$0.011208
Ardor,ARDR,$0.077730
Mixin,XIN,$172.96
Project Pai,PAI,$0.052643
aelf,ELF,$0.212297
DigixDAO,DGD,$36.42
TrueChain,TRUE,$0.896100
MonaCoin,MONA,$1.06
WAX,WAX,$0.070568
SOLVE,SOLVE,$0.292130
Ark,ARK,$0.589056
GXChain,GXC,$1.10
Aion,AION,$0.210906
Arcblock,ABT,$0.639871
Santiment Net...,SAN,$0.990310
Clams,CLAM,$17.02
Decentraland,MANA,$0.057453
ReddCoin,RDD,$0.001987
Loom Network,LOOM,$0.072377
HyperCash,HC,$1.31
Loopring,LRC,$0.062911
Metaverse ETP,ETP,$0.788774
Zcoin,XZC,$7.46
